,name,lat,lng,address,genre,zipcode
0,Budget Travel,40.75422375287519,-73.98849346265581,499 Fashion Ave Fl 18,Offices,10001
1,Tzell Travel Group,40.7541834,-73.9860791,​119 W 40th​ St,Travel Agencies,10001
2,Liberty Travel,40.74385186454906,-73.99194718513888,743 Avenue of the Americas,Travel Agencies,10001
3,247 Get Travel,40.74898985,-73.98481567,1 West 34th Street,Travel Agencies,10001
4,Travel Agency,40.750594,-73.998808,224 W 30th St,NA,10001
5,"Envision Travel Group, Inc.",40.7512148,-73.9922255,"1 Pennsylvania Plaza, Suite 3600",Travel Agencies,10001
6,Signature Travel Network,40.751976237284666,-73.99213082916484,"1 Penn Plz, Fl 24",General Travel,10001
7,Imperial Travel,40.74993919022358,-73.99253368377686,NA,Moving Targets,10001
8,Highlight Travel,40.751865,-73.991707,225 W 34th St,Travel Agencies,10001
9,NYSKY Travel,40.754913216520784,-73.99401426315308,357 W 37th St,Travel Agencies,10001
10,IACE Travel,40.753999,-73.992402,535 8th Ave Fl 8,Travel Agencies,10001
11,Intergalactic Travel Bureau,40.753868103027344,-73.99181365966797,266 W 37th St,Performing Arts Venues,10001
12,JG Black Book of Travel,40.7481323563458,-73.9933656857796,350 7th Ave Rm 1104,General Travel,10001
13,GotoBus.com by Eastern Travel,40.75032,-73.990999,7 Avenue A,Bus Stops,10001
14,HotelsPro Travel Wholesaler,40.755314,-73.993501,330 W 38th St,Offices,10001
15,The New Steele Luxury Travel VIP Lounge,40.74726867675781,-73.99613952636719,250 W 27th St,Travel Lounges,10001
16,RMP Travel,40.7545855,-73.99193860000003,555 8th Ave,Business Services,10001
17,Michele Travels,40.749759674072266,-73.9869613647461,45 W 34th St,General Travel,10001
18,USA Royalty Travel INC,40.7514486,-73.9891093,147 W 35th St #506,Travel Agencies,10001
19,Steele Luxury Travel Centurion Lounge,40.747864047577174,-74.0016800760855,555 W 23rd St,NA,10001
20,Chanteclair Travel,40.75197110866619,-73.98903608322144,152 W 36th St Rm 805,General Travel,10001
21,Northstar Travel Media,40.74887553584595,-73.98989828201249,116 W 32nd St,Offices,10001
22,Travel Savvy,40.751095,-73.988803,147 W 35th St,Offices,10001
23,travel clinic of new york city,40.745843,-73.994822,200 W 26th St,Doctor's Offices,10001
24,Titan Travel - Travel Company New York | Travel Deals USA,40.75125503540039,-73.98861694335938,"131 West 35th St, 8th Fl, New York, NY 10001",Travel Agencies,10001
